date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_yellow_cards,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_fouls,away_team_fouls
Oct 16 2018 - 10:35am,Japan,Uruguay,4,3,1,48,52,10,6,0,1,0,18,10,10,19
Oct 16 2018 - 11:00am,South Korea,Panama,2,2,2,50,50,6,5,0,0,0,12,7,-1,-1
Oct 16 2018 - 2:00pm,Uzbekistan,Qatar,2,0,1,48,52,6,3,0,2,0,11,6,10,10
Oct 16 2018 - 3:00pm,UAE,Venezuela,0,2,1,49,51,3,6,0,2,0,10,8,9,22
Oct 16 2018 - 3:30pm,Oman,Ecuador,0,0,1,37,63,5,5,0,1,0,5,14,9,18
Oct 16 2018 - 4:00pm,Iran,Bolivia,2,1,1,52,48,5,4,0,0,0,20,6,15,16
Oct 16 2018 - 6:00pm,Argentina,Brazil,0,1,5,62,38,5,5,0,2,0,16,16,15,21
Oct 16 2018 - 6:45pm,Denmark,Austria,2,0,0,52,48,9,3,0,2,0,14,12,9,10
Oct 16 2018 - 6:45pm,Sweden,Slovakia,1,1,1,39,61,7,7,0,1,0,18,22,13,13
Oct 16 2018 - 6:45pm,Belgium,Netherlands,1,1,1,52,48,5,5,0,2,0,16,14,12,10
Oct 17 2018 - 12:00am,Colombia,Costa Rica,3,1,2,57,43,9,2,0,2,0,23,4,11,15
Oct 17 2018 - 12:00am,USMNT,Peru,1,1,1,31,69,2,2,0,2,0,6,16,9,10
Oct 17 2018 - 1:45am,Mexico,Chile,0,1,2,49,51,6,5,0,2,0,15,14,11,19
Nov 14 2018 - 6:00pm,Switzerland,Qatar,0,1,0,64,36,5,3,0,1,0,18,8,12,4
Nov 15 2018 - 5:00pm,Poland,Czech Republic,0,1,0,57,43,8,6,0,1,0,19,14,13,17
Nov 15 2018 - 6:15pm,Israel,Guatemala,7,0,3,63,37,11,2,0,0,0,13,8,7,5
Nov 15 2018 - 7:45pm,Germany,Russia,3,0,0,67,33,8,0,0,1,0,13,9,7,9
Nov 15 2018 - 7:45pm,Republic of Ireland,Northern Ireland,0,0,2,41,59,3,4,0,1,0,9,13,11,15
Nov 15 2018 - 8:00pm,England,USMNT,3,0,0,58,42,9,3,0,0,0,17,11,8,7
Nov 16 2018 - 1:30am,Peru,Ecuador,0,2,0,50,50,3,5,0,2,0,5,6,9,25
Nov 16 2018 - 10:30am,Japan,Venezuela,1,1,1,50,50,6,4,0,1,0,10,8,-1,-1
Nov 16 2018 - 4:30pm,Saudi Arabia,Yemen,1,0,0,69,31,7,0,0,0,0,19,5,9,17
Nov 16 2018 - 8:00pm,Brazil,Uruguay,1,0,2,64,36,6,5,0,6,0,14,16,15,23
Nov 17 2018 - 12:00am,Argentina,Mexico,2,0,1,47,53,5,2,0,1,0,16,4,20,17
Nov 17 2018 - 12:15am,Chile,Costa Rica,2,3,4,60,40,9,5,0,3,0,22,13,16,16
Nov 17 2018 - 2:00am,Honduras,Panama,1,0,0,50,50,2,3,0,2,0,7,8,19,14
Nov 17 2018 - 8:50am,Australia,South Korea,1,1,2,52,48,13,4,0,1,0,20,7,16,13
Nov 17 2018 - 5:00pm,Jordan,India,2,1,0,66,34,6,2,0,1,0,10,3,11,6
Nov 18 2018 - 7:45pm,Spain,Bosnia-Herzegovina,1,0,2,66,34,6,3,0,1,0,21,4,11,8
Nov 19 2018 - 6:30pm,Qatar,Iceland,2,2,1,49,51,4,4,0,0,0,10,11,16,8
Nov 20 2018 - 8:30am,Australia,Lebanon,3,0,1,60,40,7,0,0,1,0,22,8,4,4
Nov 20 2018 - 10:00am,Uzbekistan,South Korea,0,4,0,34,66,5,11,0,0,0,7,16,10,10
Nov 20 2018 - 2:25pm,UAE,Yemen,2,0,0,50,50,7,5,0,1,0,11,9,20,16
Nov 20 2018 - 5:00pm,Tunisia,Morocco,0,1,1,50,50,6,3,0,1,0,14,11,13,31
Nov 20 2018 - 5:00pm,Jordan,Saudi Arabia,1,1,3,50,50,3,4,0,2,0,11,8,18,13
Nov 20 2018 - 5:30pm,Turkey,Ukraine,0,0,2,50,50,3,6,0,2,0,12,15,21,13
Nov 20 2018 - 7:00pm,Albania,Wales,1,0,2,42,58,3,4,0,4,0,7,18,21,11
Nov 20 2018 - 7:30pm,Brazil,Cameroon,1,0,0,61,39,8,2,0,1,0,26,6,13,13
Nov 20 2018 - 7:45pm,Italy,USMNT,1,0,2,67,33,7,3,0,3,0,18,6,17,20
Nov 20 2018 - 8:00pm,France,Uruguay,1,0,1,44,56,6,5,0,2,0,15,6,17,17
Nov 21 2018 - 12:00am,Argentina,Mexico,2,0,3,47,53,4,3,0,2,0,8,9,18,9
Nov 21 2018 - 12:15am,Chile,Honduras,4,1,2,61,39,10,7,0,2,0,24,17,14,16
Nov 21 2018 - 12:30am,Peru,Costa Rica,2,3,2,50,50,9,5,0,3,0,14,8,17,14
Nov 21 2018 - 1:00am,Panama,Ecuador,1,2,2,51,49,2,3,0,0,0,4,5,8,17
Dec 31 2018 - 4:00pm,South Korea,Saudi Arabia,0,0,0,49,51,2,3,0,1,0,5,5,19,7
