date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_yellow_cards,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_fouls,away_team_fouls
Mar 27 2018 - 5:00pm,Switzerland,Panama,6,0,0,58,42,10,3,0,1,0,13,5,18,13
Mar 27 2018 - 5:10pm,Montenegro,Turkey,2,2,2,50,50,5,5,0,1,0,15,9,17,15
Mar 27 2018 - 6:00pm,Egypt,Greece,0,1,1,50,50,5,7,0,3,0,5,9,9,16
Mar 27 2018 - 6:00pm,Tunisia,Costa Rica,1,0,1,56,44,4,4,0,4,0,9,7,11,12
Mar 27 2018 - 6:00pm,Hungary,Scotland,0,1,3,44,56,5,3,0,3,0,10,10,25,18
Mar 27 2018 - 6:00pm,Denmark,Chile,0,0,1,51,49,4,4,0,1,0,10,11,17,9
Mar 27 2018 - 6:00pm,Senegal,Bosnia-Herzegovina,0,0,0,50,50,2,5,0,0,0,9,11,10,11
Mar 27 2018 - 6:15pm,Slovenia,Belarus,0,2,1,59,41,4,5,0,2,0,12,11,11,24
Mar 27 2018 - 6:30pm,Luxembourg,Austria,0,4,2,38,62,2,8,0,3,0,3,10,18,16
Mar 27 2018 - 6:30pm,Romania,Sweden,1,0,1,42,58,3,2,0,2,0,10,9,16,17
Mar 27 2018 - 6:45pm,Germany,Brazil,0,1,0,50,50,2,4,0,0,0,13,12,13,10
Mar 27 2018 - 6:45pm,Poland,South Korea,3,2,1,54,46,6,9,0,1,0,12,14,11,10
Mar 27 2018 - 6:45pm,Belgium,Saudi Arabia,4,0,0,55,45,15,2,0,2,0,31,5,9,10
Mar 27 2018 - 7:00pm,England,Italy,1,1,3,54,46,7,3,0,0,0,12,10,9,7
Mar 27 2018 - 7:00pm,Morocco,Uzbekistan,2,0,1,57,43,6,0,0,2,0,6,3,14,14
Mar 27 2018 - 7:00pm,Colombia,Australia,0,0,0,50,50,4,2,0,0,0,15,7,10,15
Mar 27 2018 - 7:00pm,Nigeria,Serbia,0,2,1,50,50,4,8,0,1,0,8,13,14,13
Mar 27 2018 - 7:30pm,Spain,Argentina,6,1,2,49,51,7,4,0,4,0,11,11,20,13
Mar 27 2018 - 11:30pm,USMNT,Paraguay,1,0,2,53,47,4,3,0,5,0,7,10,15,17
