date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots,away_team_shots,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_fouls,away_team_fouls
Jun 07 2021 - 4:00pm,Ukraine,Cyprus,4,0,68,32,13,2,21,3,0,0,0,1,9,6
Jun 07 2021 - 6:45pm,Faroe Islands,Liechtenstein,5,1,75,25,12,4,24,5,1,0,1,0,12,11
Jun 07 2021 - 6:45pm,Germany,Latvia,7,1,72,28,10,2,26,3,1,0,2,0,10,8
Jun 07 2021 - 6:45pm,Andorra,Gibraltar,0,0,65,35,3,0,7,2,0,0,2,0,18,17
Jun 08 2021 - 2:00pm,Kosovo,Guinea,1,2,50,50,2,3,3,8,2,0,1,0,11,17
Jun 08 2021 - 4:00pm,Poland,Iceland,2,2,64,36,7,6,9,7,1,0,1,0,7,10
Jun 08 2021 - 5:00pm,Gambia,Togo,1,0,49,51,2,0,2,0,0,0,0,0,10,16
Jun 08 2021 - 6:00pm,Hungary,Republic of Ireland,0,0,60,40,7,3,17,7,1,0,0,0,18,6
Jun 08 2021 - 6:15pm,Czech Republic,Albania,3,1,44,56,7,2,10,7,1,0,1,0,12,12
Jun 08 2021 - 6:45pm,Spain,Lithuania,4,0,50,50,4,0,10,5,0,0,2,0,9,11
Jun 08 2021 - 7:00pm,Morocco,Ghana,1,0,50,50,3,4,8,8,3,0,1,0,19,19
Jun 08 2021 - 7:10pm,France,Bulgaria,3,0,62,38,12,0,26,2,0,0,1,0,11,8
Jun 09 2021 - 6:45pm,Portugal,Israel,4,0,60,40,10,0,25,5,0,0,1,0,8,9
Jun 09 2021 - 11:00pm,USMNT,Costa Rica,4,0,66,34,7,5,11,9,1,0,1,0,4,5
Jun 11 2021 - 10:25am,Japan,Serbia,1,0,52,48,5,2,9,5,0,0,2,0,22,8
Jun 11 2021 - 2:00pm,Guinea,Niger,2,1,68,32,6,4,13,6,1,0,1,0,22,16
Jun 11 2021 - 5:00pm,Kosovo,Gambia,1,0,50,50,5,3,17,11,1,0,0,0,14,15
Jun 11 2021 - 7:30pm,Tunisia,Algeria,0,2,46,54,6,5,9,6,3,0,6,1,26,35
Jun 12 2021 - 5:00pm,Ghana,Ivory Coast,0,0,49,51,2,2,4,7,0,0,2,0,19,21
Jun 12 2021 - 7:00pm,Morocco,Burkina,1,0,56,44,3,2,7,6,1,0,3,0,20,29
