date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_shots,away_team_shots,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_fouls,away_team_fouls
Oct 12 2019 - 5:00pm,Tunisia,Cameroon,0,0,49,51,5,2,11,6,1,0,1,0,11,17
Oct 13 2019 - 12:00pm,Brazil,Nigeria,1,1,63,37,5,6,19,9,1,0,1,0,4,5
Oct 13 2019 - 1:00pm,Kenya,Mozambique,0,1,61,39,7,4,12,8,0,0,1,0,13,14
Oct 13 2019 - 2:00pm,Ecuador,Argentina,1,6,42,58,2,8,6,11,2,0,2,0,17,16
Oct 13 2019 - 5:00pm,Ivory Coast,Congo DR,3,1,54,46,4,5,5,9,1,0,1,0,13,7
Oct 13 2019 - 6:45pm,Slovakia,Paraguay,1,1,34,66,3,9,7,17,1,0,3,0,14,21
Oct 14 2019 - 5:00pm,Czech Republic,Northern Ireland,2,3,65,35,7,5,21,7,1,0,1,0,17,14
Oct 14 2019 - 5:00pm,Egypt,Botswana,1,0,50,50,9,3,17,5,1,0,3,0,12,18
Oct 14 2019 - 10:00pm,Venezuela,Trinidad and Tobago,2,0,64,36,7,0,11,4,0,0,1,0,19,6
Oct 15 2019 - 12:00pm,Kuwait,Turkmenistan,1,1,51,49,6,7,8,10,0,0,4,0,11,21
Oct 15 2019 - 4:00pm,Chile,Guinea,3,2,65,35,7,4,16,5,0,0,1,0,9,14
Oct 15 2019 - 5:00pm,Denmark,Luxembourg,4,0,67,33,10,3,22,8,1,0,3,0,10,13
Oct 15 2019 - 7:00pm,Morocco,Gabon,2,3,50,50,10,9,20,17,0,0,2,0,14,22
Oct 15 2019 - 7:00pm,Algeria,Colombia,3,0,44,56,5,4,9,9,1,0,2,0,13,17
Oct 16 2019 - 12:00am,Bolivia,Haiti,3,1,47,53,10,15,13,20,1,0,2,0,14,11
Oct 16 2019 - 1:30am,Peru,Uruguay,1,1,53,47,6,5,10,11,3,0,1,1,25,18
Nov 07 2019 - 4:00pm,Egypt,Liberia,1,0,66,34,7,2,14,4,1,0,4,1,15,23
Nov 09 2019 - 12:00pm,Uzbekistan,Kyrgyzstan,3,1,71,29,10,7,17,9,0,0,1,0,12,16
Nov 14 2019 - 4:30pm,Qatar,Singapore,2,0,50,50,8,2,16,4,0,0,2,0,-1,-1
Nov 14 2019 - 5:00pm,Bulgaria,Paraguay,0,1,36,64,3,8,5,20,2,0,2,0,18,14
Nov 14 2019 - 7:45pm,Republic of Ireland,New Zealand,3,1,62,38,10,6,27,11,0,0,0,0,10,12
Nov 15 2019 - 12:00am,Ecuador,Trinidad and Tobago,3,0,65,35,8,2,16,2,1,0,2,0,10,14
Nov 15 2019 - 5:00pm,Brazil,Argentina,0,1,53,47,3,9,8,14,3,0,3,0,16,23
Nov 15 2019 - 6:00pm,Hungary,Uruguay,1,2,36,64,3,9,8,24,1,0,1,0,16,11
Nov 16 2019 - 1:30am,Colombia,Peru,1,0,46,54,4,5,8,14,4,0,1,0,11,10
Nov 18 2019 - 7:15pm,Argentina,Uruguay,2,2,67,33,9,4,19,7,2,0,3,0,17,18
Nov 19 2019 - 10:25am,Japan,Venezuela,1,4,52,48,9,5,16,9,2,0,3,0,-1,-1
Nov 19 2019 - 1:30pm,Brazil,South Korea,3,0,54,46,6,6,18,14,0,0,1,0,9,9
Nov 19 2019 - 4:30pm,Saudi Arabia,Paraguay,0,0,43,57,6,5,12,16,1,0,3,0,11,16
Nov 19 2019 - 5:00pm,Croatia,Georgia,2,1,53,47,7,4,16,10,0,0,0,0,12,10
Nov 19 2019 - 6:00pm,Morocco A,Guinea A,3,1,61,39,11,2,21,3,0,0,5,0,24,19
Nov 20 2019 - 1:00am,Ecuador,Colombia,0,1,45,55,4,10,11,15,1,0,1,0,11,19
